
640.0,0.00003,0.00004
640.1,0.00003,0.00004
640.2,0.00003,0.00004
640.3,0.00003,0.00005
640.4,0.00003,0.00005
640.5,0.00005,0.00005
640.6,0.00004,0.00005
640.7,0.00004,0.00005
640.8,0.00004,0.00005
640.9,0.00004,0.00004
641.0,0.00004,0.00004
641.1,0.00003,0.00004
641.2,0.00003,0.00004
641.3,0.00004,0.00004
641.4,0.00004,0.00004
641.5,0.00004,0.00005
641.6,0.00004,0.00005
641.7,0.00005,0.00005
641.8,0.00004,0.00005
641.9,0.00004,0.00005
642.0,0.00003,0.00005
642.1,0.00004,0.00005
642.2,0.00003,0.00004
642.3,0.00003,0.00004
642.4,0.00003,0.00004
642.5,0.00003,0.00004
642.6,0.00004,0.00004
642.7,0.00004,0.00004
642.8,0.00004,0.00005
642.9,0.00005,0.00005
643.0,0.00005,0.00006
643.1,0.00005,0.00005
643.2,0.00005,0.00006
643.3,0.00005,0.00005
643.4,0.00004,0.00005
643.5,0.00004,0.00005
643.6,0.00004,0.00005
643.7,0.00004,0.00005
643.8,0.00003,0.00004
643.9,0.00004,0.00005
644.0,0.00004,0.00005
644.1,0.00004,0.00005
644.2,0.00005,0.00006
644.3,0.00005,0.00006
644.4,0.00005,0.00006
644.5,0.00005,0.00006
644.6,0.00005,0.00006
644.7,0.00005,0.00006
644.8,0.00005,0.00006
644.9,0.00005,0.00007
645.0,0.00005,0.00005
645.1,0.00003,0.00005
645.2,0.00004,0.00006
645.3,0.00004,0.00005
645.4,0.00004,0.00008
645.5,0.00006,0.00008
645.6,0.00005,0.00009
645.7,0.00005,0.00009
645.8,0.00006,0.0001
645.9,0.00006,0.00011
646.0,0.00007,0.00012
646.1,0.00007,0.00015
646.2,0.00006,0.00014
646.3,0.00006,0.00016
646.4,0.00006,0.00016
646.5,0.00006,0.00019
646.6,0.00005,0.0002
646.7,0.00006,0.00021
646.8,0.00008,0.00024
646.9,0.00007,0.00028
647.0,0.00009,0.00029
647.1,0.0001,0.0003
647.2,0.0001,0.00033
647.3,0.00012,0.00036
647.4,0.00013,0.00039
647.5,0.00015,0.00044
647.6,0.00018,0.00045
647.7,0.00018,0.00048
647.8,0.0002,0.00053
647.9,0.00021,0.00057
648.0,0.00026,0.00062
648.1,0.00032,0.00068
648.2,0.00041,0.00077
648.3,0.00047,0.00083
648.4,0.00061,0.00095
648.5,0.00076,0.00108
648.6,0.00097,0.00127
648.7,0.00128,0.00151
648.8,0.00175,0.00189
648.9,0.00226,0.00236
649.0,0.00307,0.0031
649.1,0.00422,0.00396
649.2,0.00574,0.0052
649.3,0.00767,0.00693
649.4,0.01026,0.00899
649.5,0.01384,0.01207
649.6,0.01822,0.01564
649.7,0.02461,0.02109
649.8,0.03291,0.02776
649.9,0.04498,0.03826
650,0.06133,0.05184
650.1,0.08597,0.07248
650.2,0.12143,0.10273
650.3,0.17935,0.15157
650.4,0.26815,0.22916
650.5,0.40959,0.35213
650.6,0.64807,0.56429
650.7,1.02047,0.89475
650.8,1.66368,1.47599
650.9,2.60919,2.32101
651,4.17973,3.72903
651.1,6.32543,5.61059
651.2,9.4397,8.32723
651.3,13.2816,11.6614
651.4,18.1358,15.801
651.5,23.6992,20.6081
651.6,30.2917,26.3863
651.7,37.4313,32.651
651.8,45.3117,39.4948
651.9,53.1486,46.565
652,60.8034,53.6589
652.1,68.014,60.4783
652.2,74.0989,66.3339
652.3,79.8487,72.2408
652.4,84.3967,77.3886
652.5,88.3864,81.9043
652.6,91.3155,85.5982
652.7,93.419,88.6567
652.8,94.8545,90.9607
652.9,95.994,92.7752
653,96.3821,93.9472
653.1,96.7276,94.7838
653.2,96.8812,95.506
653.3,96.973,95.8572
653.4,97.1521,96.2185
653.5,97.1683,96.3786
653.6,97.2231,96.4733
653.7,97.3143,96.6892
653.8,97.2688,96.6605
653.9,97.4617,96.7649
654,97.4928,96.8177
654.1,97.4311,96.9643
654.2,97.4307,97.075
654.3,97.4379,97.2343
654.4,97.4857,97.3906
654.5,97.4673,97.5741
654.6,97.5294,97.7311
654.7,97.3979,97.6714
654.8,97.4078,97.6775
654.9,97.3059,97.7432
655,97.3897,97.7527
655.1,97.4414,97.677
655.2,97.3189,97.732
655.3,97.4259,97.7063
655.4,97.3441,97.6476
655.5,97.4261,97.6793
655.6,97.482,97.6645
655.7,97.635,97.804
655.8,97.5987,97.9445
655.9,97.6747,97.9419
656,97.6529,98.1569
656.1,97.838,98.1543
656.2,97.7292,98.1839
656.3,97.7917,98.2521
656.4,97.7998,98.3457
656.5,97.7217,98.3786
656.6,97.8953,98.3341
656.7,97.8072,98.4685
656.8,97.893,98.4906
656.9,97.8526,98.4358
657,97.8347,98.4971
657.1,97.835,98.5503
657.2,98.0352,98.5434
657.3,97.9422,98.5442
657.4,97.8504,98.5469
657.5,98.026,98.5166
657.6,97.9423,98.5501
657.7,97.9851,98.5967
657.8,97.8453,98.6039
657.9,97.8434,98.5434
658,97.883,98.4715
658.1,97.8146,98.3789
658.2,97.7689,98.5276
658.3,97.7686,98.488
658.4,97.8394,98.5749
658.5,97.7912,98.5595
658.6,97.7867,98.5494
658.7,97.8777,98.6048
658.8,97.9751,98.6846
658.9,97.989,98.6535
659,98.0072,98.8002
659.1,97.9057,98.7094
659.2,97.9533,98.6146
659.3,97.8336,98.6734
659.4,97.7321,98.5283
659.5,97.6912,98.5366
659.6,97.7205,98.5434
659.7,97.649,98.4499
659.8,97.6927,98.3349
659.9,97.6518,98.4145
660,97.6955,98.2841
660.1,97.5464,98.2322
660.2,97.5703,98.123
660.3,97.5406,98.0604
660.4,97.6742,98.0531
660.5,97.5852,98.0626
660.6,97.4287,97.9254
660.7,97.3894,97.8552
660.8,97.459,97.9285
660.9,97.3463,97.76
661,97.2354,97.8116
661.1,97.1049,97.6937
661.2,97.0425,97.6265
661.3,96.8048,97.5377
661.4,96.735,97.5296
661.5,96.5953,97.4112
661.6,96.445,97.3294
661.7,96.3063,97.0958
661.8,96.0247,97.1226
661.9,95.8296,96.8912
662,95.7405,96.6208
662.1,95.5466,96.5371
662.2,95.5584,96.2675
662.3,95.3954,96.1273
662.4,95.435,95.9873
662.5,95.4296,95.788
662.6,95.4535,95.6563
662.7,95.4466,95.5251
662.8,95.4642,95.5741
662.9,95.4494,95.4937
663,95.3617,95.4113
663.1,95.2101,95.4276
663.2,94.9374,95.3068
663.3,94.5856,95.2751
663.4,94.2423,95.217
663.5,93.8271,95.1688
663.6,93.3337,94.9709
663.7,92.7905,94.8876
663.8,92.2464,94.5909
663.9,91.6527,94.4574
664,90.7338,93.9896
664.1,89.8781,93.6056
664.2,88.8506,92.9192
664.3,87.5644,91.9172
664.4,85.688,90.6393
664.5,83.4268,89.0645
664.6,80.506,86.7375
664.7,77.0044,83.9878
664.8,72.7179,80.3265
664.9,67.8261,76.2352
665,62.1735,71.3284
665.1,56.3019,66.1255
665.2,49.897,60.1028
665.3,43.3862,53.7929
665.4,36.8878,47.2471
665.5,30.5476,40.5488
665.6,24.9454,34.427
665.7,19.4824,28.1524
665.8,15.2347,22.9751
665.9,11.2554,17.9292
666,8.2427,13.8482
666.1,5.74591,10.2582
666.2,3.96041,7.46418
666.3,2.62904,5.22902
666.4,1.74745,3.63208
666.5,1.13302,2.43082
666.6,0.73648,1.60363
666.7,0.48342,1.05676
666.8,0.31927,0.6944
666.9,0.21816,0.46622
667,0.14858,0.31253
667.1,0.10516,0.21788
667.2,0.07292,0.14882
667.3,0.05276,0.10573
667.4,0.03783,0.07406
667.5,0.02791,0.05374
667.6,0.02013,0.03876
667.7,0.01487,0.02851
667.8,0.01079,0.02067
667.9,0.00795,0.01507
668,0.00581,0.01119
668.1,0.00418,0.00824
668.2,0.00319,0.00609
668.3,0.00235,0.00445
668.4,0.0018,0.00338
668.5,0.00134,0.00256
668.6,0.00103,0.00196
668.7,0.00081,0.00144
668.8,0.00063,0.00117
668.9,0.00052,0.00089
669,0.00043,0.00071
669.1,0.00035,0.00059
669.2,0.0003,0.00047
669.3,0.00024,0.00036
669.4,0.00021,0.00031
669.5,0.00016,0.00024
669.6,0.00016,0.00023
669.7,0.00012,0.00021
669.8,0.00013,0.00017
669.9,0.00012,0.00016
670,0.0001,0.00015
670.1,0.0001,0.00013
670.2,0.00009,0.00011
670.3,0.00008,0.00012
670.4,0.00008,0.0001
670.5,0.00008,0.0001
670.6,0.00007,0.00009
670.7,0.00006,0.00009
670.8,0.00006,0.00008
670.9,0.00005,0.00007
671,0.00006,0.00007
671.1,0.00006,0.00007
671.2,0.00006,0.00007
671.3,0.00006,0.00007
671.4,0.00006,0.00008
671.5,0.00006,0.00008
671.6,0.00005,0.00007
671.7,0.00006,0.00008
671.8,0.00007,0.00008
671.9,0.00005,0.00007
672,0.00005,0.00007
672.1,0.00005,0.00006
672.2,0.00005,0.00005
672.3,0.00004,0.00006
672.4,0.00005,0.00005
672.5,0.00004,0.00005
672.6,0.00005,0.00006
672.7,0.00005,0.00006
672.8,0.00005,0.00006
672.9,0.00005,0.00006
673,0.00005,0.00007
673.1,0.00005,0.00006
673.2,0.00004,0.00005
673.3,0.00004,0.00005
673.4,0.00004,0.00005
673.5,0.00003,0.00004
673.6,0.00003,0.00006
673.7,0.00004,0.00005
673.8,0.00004,0.00005
673.9,0.00004,0.00005
674,0.00004,0.00005
674.1,0.00005,0.00005
674.2,0.00005,0.00005
674.3,0.00004,0.00005
674.4,0.00004,0.00005
674.5,0.00004,0.00006
674.6,0.00004,0.00005
674.7,0.00003,0.00005
674.8,0.00003,0.00005
674.9,0.00002,0.00004
675,0.00003,0.00003
675.1,0.00002,0.00004
675.2,0.00003,0.00004
675.3,0.00003,0.00005
675.4,0.00003,0.00004
675.5,0.00004,0.00005
675.6,0.00003,0.00006
675.7,0.00004,0.00005
675.8,0.00004,0.00005
675.9,0.00004,0.00006
676,0.00003,0.00005
676.1,0.00003,0.00005
676.2,0.00002,0.00003
676.3,0.00002,0.00003
676.4,0.00002,0.00003
676.5,0.00002,0.00003
676.6,0.00002,0.00003
676.7,0.00003,0.00004
676.8,0.00003,0.00005
676.9,0.00003,0.00004
677,0.00003,0.00003
677.1,0.00002,0.00004
677.2,0.00003,0.00005
677.3,0.00002,0.00003
677.4,0.00002,0.00004
677.5,0.00001,0.00003
677.6,0.00002,0.00002
677.7,0.00002,0.00003
677.8,0.00002,0.00002
677.9,0.00002,0.00003
678,0.00002,0.00004
678.1,0.00003,0.00003
678.2,0.00002,0.00004
678.3,0.00003,0.00004
678.4,0.00003,0.00003
678.5,0.00003,0.00004
678.6,0.00003,0.00004
678.7,0.00002,0.00004
678.8,0.00002,0.00003
678.9,0.00002,0.00003
679,0.00002,0.00003
679.1,0.00002,0.00002
679.2,0.00002,0.00003
679.3,0.00002,0.00003
679.4,0.00002,0.00004
679.5,0.00003,0.00004
679.6,0.00003,0.00003
679.7,0.00003,0.00004
679.8,0.00003,0.00004
679.9,0.00003,0.00004
680,-0.00001,0.00002
