367,-0.012,-0.011,-0.014,-0.009,-0.017,-0.006,-0.008
367.1,-0.012,-0.011,-0.014,-0.009,-0.015,-0.006,-0.008
367.2,-0.012,-0.011,-0.014,-0.009,-0.015,-0.006,-0.008
367.3,-0.011,-0.011,-0.014,-0.009,-0.015,-0.006,-0.008
367.4,-0.011,-0.011,-0.014,-0.009,-0.015,-0.006,-0.008
367.5,-0.011,-0.011,-0.014,-0.009,-0.014,-0.006,-0.008
367.6,-0.011,-0.012,-0.014,-0.009,-0.014,-0.006,-0.008
367.7,-0.011,-0.012,-0.014,-0.009,-0.014,-0.006,-0.008
367.8,-0.011,-0.012,-0.014,-0.009,-0.014,-0.006,-0.009
367.9,-0.009,-0.011,-0.014,-0.009,-0.014,-0.006,-0.009
368,-0.009,-0.011,-0.014,-0.009,-0.014,-0.006,-0.009
368.1,-0.009,-0.011,-0.014,-0.009,-0.012,-0.006,-0.009
368.2,-0.009,-0.011,-0.014,-0.009,-0.012,-0.006,-0.009
368.3,-0.009,-0.011,-0.014,-0.009,-0.012,-0.006,-0.009
368.4,-0.008,-0.012,-0.012,-0.009,-0.012,-0.006,-0.009
368.5,-0.008,-0.011,-0.012,-0.009,-0.011,-0.006,-0.009
368.6,-0.008,-0.011,-0.012,-0.009,-0.011,-0.008,-0.009
368.7,-0.008,-0.011,-0.012,-0.009,-0.011,-0.008,-0.009
368.8,-0.008,-0.011,-0.012,-0.009,-0.011,-0.008,-0.009
368.9,-0.008,-0.011,-0.011,-0.008,-0.011,-0.008,-0.008
369,-0.008,-0.011,-0.011,-0.008,-0.009,-0.008,-0.008
369.1,-0.008,-0.011,-0.011,-0.009,-0.009,-0.006,-0.008
369.2,-0.008,-0.011,-0.011,-0.009,-0.009,-0.006,-0.008
369.3,-0.006,-0.009,-0.011,-0.009,-0.009,-0.006,-0.008
369.4,-0.006,-0.009,-0.011,-0.008,-0.009,-0.006,-0.008
369.5,-0.006,-0.009,-0.011,-0.008,-0.009,-0.006,-0.006
369.6,-0.006,-0.009,-0.009,-0.008,-0.009,-0.006,-0.006
369.7,-0.006,-0.009,-0.009,-0.008,-0.009,-0.006,-0.006
369.8,-0.006,-0.008,-0.009,-0.008,-0.008,-0.006,-0.006
369.9,-0.005,-0.008,-0.009,-0.008,-0.008,-0.006,-0.006
370,-0.005,-0.008,-0.009,-0.006,-0.008,-0.005,-0.005
370.1,-0.005,-0.008,-0.008,-0.006,-0.008,-0.005,-0.005
370.2,-0.005,-0.006,-0.008,-0.006,-0.008,-0.005,-0.005
370.3,-0.005,-0.006,-0.006,-0.006,-0.006,-0.005,-0.005
370.4,-0.003,-0.005,-0.006,-0.006,-0.006,-0.005,-0.005
370.5,-0.003,-0.005,-0.006,-0.006,-0.006,-0.005,-0.003
370.6,-0.003,-0.005,-0.005,-0.006,-0.006,-0.005,-0.003
370.7,-0.002,-0.003,-0.005,-0.006,-0.005,-0.005,-0.002
370.8,-0.002,-0.003,-0.005,-0.005,-0.005,-0.005,-0.002
370.9,-0.002,-0.002,-0.003,-0.005,-0.003,-0.005,0
371,-0.002,-0.002,-0.003,-0.005,-0.003,-0.003,0
371.1,0,0,-0.003,-0.005,-0.003,-0.003,0
371.2,0,0.002,-0.002,-0.003,-0.002,-0.003,0.002
371.3,0,0.002,0,-0.003,0,-0.003,0.003
371.4,0.002,0.003,0,-0.003,0,-0.003,0.003
371.5,0.002,0.005,0.002,-0.003,0.002,-0.002,0.005
371.6,0.003,0.006,0.003,-0.002,0.002,-0.002,0.005
371.7,0.003,0.008,0.003,-0.002,0.003,-0.002,0.006
371.8,0.005,0.009,0.005,0,0.005,0,0.008
371.9,0.006,0.011,0.006,0,0.005,0,0.009
372,0.008,0.012,0.006,0.002,0.006,0.002,0.009
372.1,0.008,0.014,0.008,0.002,0.008,0.002,0.011
372.2,0.009,0.015,0.009,0.003,0.008,0.002,0.012
372.3,0.011,0.017,0.011,0.003,0.009,0.003,0.014
372.4,0.011,0.02,0.012,0.005,0.011,0.003,0.017
372.5,0.012,0.021,0.014,0.006,0.012,0.005,0.018
372.6,0.014,0.023,0.015,0.006,0.014,0.006,0.02
372.7,0.015,0.026,0.018,0.008,0.015,0.006,0.021
372.8,0.017,0.029,0.02,0.009,0.018,0.008,0.024
372.9,0.018,0.032,0.021,0.011,0.02,0.009,0.026
373,0.02,0.035,0.024,0.011,0.021,0.011,0.029
373.1,0.023,0.037,0.026,0.012,0.024,0.012,0.031
373.2,0.024,0.041,0.029,0.014,0.026,0.012,0.034
373.3,0.027,0.044,0.032,0.015,0.029,0.014,0.037
373.4,0.029,0.047,0.034,0.018,0.031,0.015,0.04
373.5,0.032,0.052,0.037,0.02,0.034,0.017,0.043
373.6,0.034,0.056,0.041,0.021,0.037,0.02,0.046
373.7,0.037,0.061,0.044,0.023,0.04,0.021,0.05
373.8,0.04,0.066,0.047,0.026,0.043,0.023,0.053
373.9,0.043,0.07,0.05,0.027,0.046,0.026,0.058
374,0.046,0.075,0.055,0.031,0.049,0.027,0.063
374.1,0.049,0.081,0.06,0.034,0.053,0.031,0.067
374.2,0.053,0.087,0.064,0.037,0.056,0.032,0.07
374.3,0.056,0.093,0.069,0.04,0.061,0.035,0.076
374.4,0.06,0.099,0.073,0.041,0.066,0.038,0.081
374.5,0.064,0.107,0.079,0.044,0.07,0.041,0.087
374.6,0.069,0.114,0.084,0.049,0.075,0.044,0.093
374.7,0.073,0.122,0.09,0.052,0.081,0.047,0.099
374.8,0.078,0.131,0.096,0.055,0.085,0.05,0.105
374.9,0.084,0.14,0.102,0.06,0.092,0.055,0.111
375,0.089,0.15,0.11,0.064,0.098,0.058,0.119
375.1,0.095,0.16,0.117,0.069,0.105,0.063,0.127
375.2,0.101,0.171,0.125,0.073,0.111,0.067,0.136
375.3,0.108,0.183,0.134,0.078,0.119,0.072,0.143
375.4,0.114,0.195,0.143,0.084,0.128,0.076,0.153
375.5,0.122,0.209,0.153,0.089,0.136,0.081,0.163
375.6,0.13,0.224,0.163,0.095,0.145,0.087,0.172
375.7,0.137,0.24,0.175,0.101,0.154,0.092,0.183
375.8,0.146,0.256,0.186,0.108,0.165,0.098,0.195
375.9,0.156,0.273,0.198,0.116,0.175,0.105,0.208
376,0.165,0.293,0.212,0.122,0.188,0.111,0.221
376.1,0.175,0.313,0.226,0.131,0.2,0.119,0.235
376.2,0.186,0.334,0.241,0.14,0.212,0.127,0.25
376.3,0.198,0.357,0.258,0.15,0.226,0.134,0.266
376.4,0.211,0.381,0.275,0.159,0.241,0.143,0.282
376.5,0.223,0.407,0.293,0.169,0.258,0.153,0.301
376.6,0.237,0.436,0.314,0.18,0.273,0.162,0.319
376.7,0.252,0.465,0.334,0.192,0.291,0.172,0.339
376.8,0.267,0.497,0.357,0.204,0.31,0.185,0.36
376.9,0.284,0.533,0.381,0.217,0.331,0.195,0.383
377,0.302,0.569,0.406,0.232,0.352,0.208,0.407
377.1,0.32,0.61,0.433,0.247,0.374,0.221,0.435
377.2,0.34,0.658,0.462,0.264,0.4,0.235,0.465
377.3,0.362,0.708,0.494,0.281,0.426,0.249,0.5
377.4,0.385,0.764,0.529,0.299,0.456,0.266,0.54
377.5,0.41,0.827,0.568,0.317,0.488,0.281,0.583
377.6,0.438,0.897,0.61,0.339,0.523,0.299,0.632
377.7,0.47,0.975,0.658,0.36,0.563,0.317,0.688
377.8,0.505,1.062,0.711,0.385,0.607,0.337,0.751
377.9,0.545,1.158,0.769,0.409,0.659,0.359,0.822
378,0.591,1.265,0.836,0.436,0.714,0.381,0.903
378.1,0.641,1.382,0.909,0.465,0.778,0.407,0.993
378.2,0.697,1.514,0.992,0.499,0.85,0.435,1.096
378.3,0.763,1.659,1.085,0.534,0.929,0.465,1.21
378.4,0.836,1.819,1.187,0.574,1.019,0.499,1.337
378.5,0.919,1.994,1.302,0.62,1.122,0.536,1.479
378.6,1.012,2.185,1.428,0.67,1.233,0.578,1.636
378.7,1.117,2.394,1.569,0.726,1.358,0.626,1.808
378.8,1.234,2.621,1.724,0.789,1.497,0.679,1.999
378.9,1.364,2.867,1.895,0.859,1.651,0.739,2.208
379,1.509,3.134,2.081,0.938,1.822,0.806,2.437
379.1,1.671,3.423,2.287,1.025,2.007,0.88,2.686
379.2,1.848,3.732,2.51,1.123,2.211,0.966,2.954
379.3,2.042,4.065,2.753,1.233,2.432,1.06,3.246
379.4,2.254,4.422,3.015,1.353,2.675,1.166,3.56
