500,0.285,0.226,0.27,0.276,0.223,0.264,0.192,0.22,0.333
500.05,0.29,0.23,0.275,0.281,0.226,0.267,0.195,0.223,0.337
500.1,0.296,0.235,0.279,0.287,0.23,0.272,0.2,0.226,0.343
500.15,0.301,0.238,0.284,0.291,0.233,0.276,0.203,0.23,0.348
500.2,0.308,0.243,0.29,0.298,0.238,0.282,0.206,0.235,0.356
500.25,0.316,0.249,0.296,0.304,0.243,0.287,0.211,0.24,0.363
500.3,0.323,0.255,0.302,0.311,0.249,0.294,0.217,0.244,0.371
500.35,0.333,0.261,0.31,0.319,0.255,0.302,0.221,0.25,0.38
500.4,0.342,0.269,0.317,0.328,0.261,0.308,0.227,0.255,0.391
500.45,0.351,0.275,0.327,0.337,0.269,0.317,0.232,0.262,0.401
500.5,0.36,0.282,0.334,0.345,0.275,0.325,0.238,0.269,0.41
500.55,0.371,0.29,0.343,0.354,0.282,0.333,0.244,0.276,0.423
500.6,0.38,0.298,0.352,0.363,0.29,0.342,0.25,0.282,0.435
500.65,0.391,0.305,0.36,0.374,0.298,0.351,0.256,0.29,0.447
500.7,0.401,0.313,0.371,0.383,0.305,0.362,0.264,0.298,0.459
500.75,0.412,0.322,0.38,0.394,0.314,0.371,0.27,0.304,0.471
500.8,0.423,0.33,0.391,0.404,0.323,0.38,0.276,0.313,0.484
500.85,0.436,0.339,0.401,0.415,0.333,0.391,0.284,0.32,0.497
500.9,0.449,0.348,0.41,0.426,0.342,0.4,0.291,0.33,0.511
500.95,0.461,0.357,0.423,0.438,0.349,0.41,0.299,0.339,0.525
501,0.473,0.366,0.433,0.45,0.359,0.423,0.307,0.346,0.542
501.05,0.485,0.377,0.446,0.462,0.369,0.433,0.314,0.356,0.557
501.1,0.499,0.388,0.458,0.475,0.378,0.446,0.323,0.365,0.572
501.15,0.513,0.397,0.47,0.487,0.389,0.456,0.331,0.374,0.589
501.2,0.526,0.407,0.482,0.5,0.398,0.468,0.34,0.385,0.606
501.25,0.542,0.418,0.496,0.514,0.409,0.482,0.348,0.394,0.623
501.3,0.557,0.43,0.51,0.528,0.42,0.494,0.357,0.404,0.641
501.35,0.572,0.441,0.525,0.542,0.43,0.508,0.366,0.415,0.659
501.4,0.587,0.453,0.539,0.557,0.443,0.522,0.375,0.427,0.676
501.45,0.604,0.465,0.554,0.574,0.455,0.537,0.386,0.438,0.694
501.5,0.623,0.479,0.569,0.587,0.467,0.551,0.395,0.449,0.714
501.55,0.638,0.493,0.586,0.604,0.479,0.566,0.406,0.462,0.734
501.6,0.656,0.505,0.601,0.621,0.491,0.583,0.417,0.475,0.755
501.65,0.673,0.52,0.618,0.638,0.504,0.598,0.427,0.487,0.775
501.7,0.691,0.536,0.635,0.655,0.517,0.615,0.439,0.5,0.797
501.75,0.711,0.551,0.653,0.673,0.531,0.633,0.45,0.514,0.818
501.8,0.731,0.566,0.671,0.693,0.545,0.65,0.462,0.528,0.841
501.85,0.749,0.581,0.69,0.711,0.562,0.668,0.475,0.543,0.864
501.9,0.768,0.598,0.708,0.731,0.577,0.685,0.488,0.558,0.887
501.95,0.787,0.616,0.728,0.751,0.594,0.705,0.502,0.574,0.909
502,0.809,0.633,0.748,0.771,0.61,0.725,0.516,0.591,0.934
502.05,0.83,0.652,0.769,0.792,0.627,0.746,0.531,0.606,0.958
502.1,0.851,0.67,0.789,0.813,0.645,0.768,0.545,0.624,0.983
502.15,0.873,0.688,0.81,0.835,0.664,0.789,0.562,0.641,1.009
502.2,0.896,0.708,0.83,0.856,0.682,0.81,0.577,0.659,1.035
502.25,0.919,0.728,0.853,0.877,0.7,0.833,0.594,0.679,1.062
502.3,0.94,0.748,0.874,0.902,0.72,0.856,0.61,0.699,1.088
502.35,0.964,0.768,0.897,0.925,0.74,0.88,0.629,0.719,1.115
502.4,0.989,0.789,0.92,0.948,0.76,0.903,0.645,0.739,1.141
502.45,1.012,0.81,0.945,0.97,0.78,0.928,0.664,0.76,1.169
502.5,1.035,0.832,0.966,0.993,0.801,0.952,0.682,0.78,1.198
502.55,1.059,0.853,0.99,1.018,0.824,0.978,0.702,0.803,1.227
502.6,1.083,0.874,1.015,1.042,0.845,1.003,0.722,0.826,1.254
502.65,1.108,0.897,1.039,1.065,0.867,1.028,0.743,0.848,1.283
502.7,1.132,0.92,1.062,1.089,0.888,1.056,0.763,0.871,1.312
502.75,1.157,0.943,1.086,1.115,0.911,1.082,0.784,0.894,1.34
502.8,1.181,0.967,1.111,1.14,0.934,1.109,0.806,0.919,1.37
502.85,1.205,0.99,1.134,1.166,0.957,1.137,0.827,0.945,1.399
502.9,1.23,1.015,1.16,1.192,0.98,1.164,0.85,0.969,1.428
502.95,1.254,1.039,1.186,1.216,1.004,1.192,0.873,0.995,1.457
503,1.279,1.064,1.212,1.242,1.027,1.221,0.897,1.021,1.485
503.05,1.303,1.088,1.236,1.266,1.05,1.247,0.92,1.045,1.514
503.1,1.326,1.112,1.26,1.291,1.074,1.276,0.945,1.071,1.544
503.15,1.35,1.138,1.286,1.317,1.099,1.303,0.969,1.097,1.573
