15625.00 0.00
15622.56 0.00
15620.12 0.00
15617.68 0.00
15615.24 0.00
15612.80 0.00
15610.37 0.00
15607.93 0.00
15605.49 0.00
15603.06 0.00
15600.62 0.00
15598.19 0.00
15595.76 0.00
15593.33 0.00
15590.89 0.00
15588.46 0.00
15586.03 0.00
15583.61 0.00
15581.18 0.00
15578.75 0.00
15576.32 0.00
15573.90 0.00
15571.47 0.00
15569.05 0.00
15566.63 0.00
15564.20 0.00
15561.78 0.00
15559.36 0.00
15556.94 0.00
15554.52 0.00
15552.10 0.00
15549.68 0.00
15547.26 0.00
15544.85 0.00
15542.43 0.00
15540.02 0.00
15537.60 0.00
15535.19 0.00
15532.77 0.00
15530.36 0.00
15527.95 0.00
15525.54 0.00
15523.13 0.00
15520.72 0.00
15518.31 0.00
15515.90 0.00
15513.50 0.00
15511.09 0.00
15508.68 0.00
15506.28 0.00
15503.88 0.00
15501.47 0.00
15499.07 0.00
15496.67 0.00
15494.27 0.00
15491.87 0.00
15489.47 0.00
15487.07 0.00
15484.67 0.00
15482.27 0.00
15479.88 0.00
15477.48 0.00
15475.09 0.00
15472.69 0.00
15470.30 0.00
15467.90 0.00
15465.51 0.00
15463.12 0.00
15460.73 0.00
15458.34 0.00
15455.95 0.00
15453.56 0.00
15451.17 0.00
15448.79 0.00
15446.40 0.00
15444.02 0.00
15441.63 0.00
15439.25 0.00
15436.86 0.00
15434.48 0.00
15432.10 0.00
15429.72 0.00
15427.34 0.00
15424.96 0.00
15422.58 0.00
15420.20 0.00
15417.82 0.00
15415.45 0.00
15413.07 0.00
15410.70 0.00
15408.32 0.00
15405.95 0.00
15403.57 0.01
15401.20 0.01
15398.83 0.01
15396.46 0.01
15394.09 0.02
15391.72 0.02
15389.35 0.03
15386.98 0.04
15384.62 0.06
15382.25 0.08
15379.88 0.11
15377.52 0.17
15375.15 0.25
15372.79 0.38
15370.43 0.61
15368.07 0.96
15365.70 1.57
15363.34 2.47
15360.98 3.95
15358.62 5.97
15356.27 8.88
15353.91 12.47
15351.55 16.97
15349.19 22.15
15346.84 28.34
15344.48 35.04
15342.13 42.40
15339.78 49.86
15337.42 57.23
15335.07 64.25
15332.72 70.22
15330.37 76.04
15328.02 80.89
15325.67 85.15
15323.32 88.46
15320.97 91.04
15318.63 92.91
15316.28 94.38
15313.94 95.16
15311.59 95.76
15309.25 96.19
15306.90 96.42
15304.56 96.69
15302.22 96.77
15299.88 96.85
15297.54 97.00
15295.20 96.96
15292.86 97.11
15290.52 97.16
15288.18 97.20
15285.85 97.25
15283.51 97.34
15281.17 97.44
15278.84 97.52
15276.50 97.63
15274.17 97.53
15271.84 97.54
15269.51 97.52
15267.18 97.57
15264.85 97.56
15262.52 97.53
15260.19 97.57
15257.86 97.50
15255.53 97.55
15253.20 97.57
15250.88 97.72
15248.55 97.77
15246.23 97.81
15243.90 97.90
15241.58 98.00
15239.26 97.96
15236.93 98.02
15234.61 98.07
15232.29 98.05
15229.97 98.11
15227.65 98.14
15225.33 98.19
15223.02 98.14
15220.70 98.17
15218.38 98.19
15216.07 98.29
15213.75 98.24
15211.44 98.20
15209.13 98.27
15206.81 98.25
15204.50 98.29
15202.19 98.22
15199.88 98.19
15197.57 98.18
15195.26 98.10
15192.95 98.15
15190.64 98.13
15188.34 98.21
15186.03 98.18
15183.72 98.17
15181.42 98.24
15179.11 98.33
15176.81 98.32
15174.51 98.40
15172.20 98.31
15169.90 98.28
15167.60 98.25
15165.30 98.13
15163.00 98.11
15160.70 98.13
15158.41 98.05
15156.11 98.01
15153.81 98.03
15151.52 97.99
15149.22 97.89
15146.93 97.85
15144.63 97.80
15142.34 97.86
15140.05 97.82
15137.75 97.68
15135.46 97.62
15133.17 97.69
15130.88 97.55
15128.59 97.52
15126.30 97.40
15124.02 97.33
15121.73 97.17
15119.44 97.13
15117.16 97.00
15114.87 96.89
15112.59 96.70
15110.31 96.57
15108.02 96.36
15105.74 96.18
15103.46 96.04
15101.18 95.91
15098.90 95.76
15096.62 95.71
15094.34 95.61
15092.06 95.55
15089.78 95.49
15087.51 95.52
15085.23 95.47
15082.96 95.39
15080.68 95.32
15078.41 95.12
15076.13 94.93
15073.86 94.73
15071.59 94.50
15069.32 94.15
15067.05 93.84
15064.78 93.42
15062.51 93.06
15060.24 92.36
15057.97 91.74
15055.71 90.88
15053.44 89.74
15051.17 88.16
15048.91 86.25
15046.64 83.62
15044.38 80.50
15042.12 76.52
15039.86 72.03
15037.59 66.75
15035.33 61.21
15033.07 55.00
15030.81 48.59
15028.55 42.07
15026.30 35.55
15024.04 29.69
15021.78 23.82
15019.53 19.10
15017.27 14.59
15015.02 11.05
15012.76 8.00
15010.51 5.71
15008.25 3.93
15006.00 2.69
15003.75 1.78
15001.50 1.17
14999.25 0.77
14997.00 0.51
14994.75 0.34
14992.50 0.23
14990.26 0.16
14988.01 0.11
14985.76 0.08
14983.52 0.06
14981.27 0.04
14979.03 0.03
14976.79 0.02
14974.54 0.02
14972.30 0.01
14970.06 0.01
